name,gender,age,height,weight,salary,nationality,code,country,language1,language2,language3,first,last
Alberto Dudley,Male,57,1.6,62,106000,French,FR,France,J#,,,Alberto,Dudley
Alberto Medina,Male,32,1.95,40,79000,Jordanian,JO,Jordan,,,,Alberto,Medina
Aldo Pacheco,Male,42,1.76,67,93000,Danish,DK,Denmark,Java,AutoIt,,Aldo,Pacheco
Alease Peters,Female,23,1.61,76,85000,Cameroonian,CM,Cameroon,Racket,,,Alease,Peters
Aleen Bolton,Female,17,1.89,88,79000,Jordanian,JO,Jordan,,,,Aleen,Bolton
Aleida Rodriquez,Female,62,1.71,75,78000,Swiss,CH,Switzerland,C,PHP,,Aleida,Rodriquez
Alejandrina Middleton,Female,43,1.84,43,125000,Israeli,IS,Israel,Perl,,,Alejandrina,Middleton
Alejandrina Weiss,Female,55,1.72,59,84000,Ukrainian,UA,Ukraine,,,,Alejandrina,Weiss
Aleshia Reilly,Female,61,1.76,86,97000,Swiss,CH,Switzerland,,,,Aleshia,Reilly
Alethia Delacruz,Female,22,1.65,90,87000,Uruguayan,UY,Uruguay,Prolog,Groovy,,Alethia,Delacruz
Alex Witt,Male,41,1.65,43,94000,British,GB,United Kingdom,,,,Alex,Witt
Alexander Goodwin,Female,25,1.64,77,66000,Italian,IT,Italy,C#,OCaml,,Alexander,Goodwin
Alexander Haley,Male,55,1.93,41,142000,Jordanian,JO,Jordan,AutoIt,C#,,Alexander,Haley
Alexis Stevens,Male,27,1.72,39,79000,Italian,IT,Italy,Caml,D,,Alexis,Stevens
Alfonso Sawyer,Male,39,1.58,73,141000,Mexican,ME,Mexico,JavaScript,F#,PL-I,Alfonso,Sawyer
Alfredia Delacruz,Female,34,1.9,84,104000,Taiwanese,TW,Taiwan,,,,Alfredia,Delacruz
Alfredia Palmer,Female,64,1.84,47,48000,Jordanian,JO,Jordan,,,,Alfredia,Palmer
Ali Davidson,Male,34,1.66,86,113000,Danish,DK,Denmark,,,,Ali,Davidson
Alise Bolton,Female,23,1.8,72,107000,British,GB,United Kingdom,Clojure,Fortran,,Alise,Bolton
Alishia Hull,Female,32,1.58,51,76000,Danish,DK,Denmark,Julia,C++,,Alishia,Hull
Alita Cannon,Female,33,1.88,50,116000,Ukrainian,UA,Ukraine,Delphi,,,Alita,Cannon
Allan Olson,Male,43,1.93,39,128000,Ethiopian,ET,Ethiopia,Smalltalk,AutoIt,,Allan,Olson
Allena Blankenship,Female,39,1.96,74,126000,Japanese,JP,Japan,PL-I,Go,Fortran,Allena,Blankenship
Alona Sharpe,Female,48,1.63,51,118000,Egyptian,EG,Egypt,Go,,,Alona,Sharpe
Alvin Fitzpatrick,Male,48,1.88,60,101000,Swedish,SE,Sweden,Transact-SQL,,,Alvin,Fitzpatrick
Alysa Holcomb,Female,56,1.78,62,64000,Uruguayan,UY,Uruguay,PHP,,,Alysa,Holcomb
Alyse Gamble,Female,66,1.66,73,147000,Greek,GR,Greece,Bash,,,Alyse,Gamble
Amal Booker,Female,18,1.9,50,116000,Romanian,RO,Romania,,,,Amal,Booker
Amina Case,Female,40,1.74,81,142000,Taiwanese,TW,Taiwan,Scheme,,,Amina,Case
Amina Goff,Female,61,1.77,89,214000,Chinese,CH,China,R,C++,ASP,Amina,Goff
Amina Hanson,Female,28,1.5,66,56000,Dutch,NL,Netherland,PowerShell,,,Amina,Hanson
Ammie Hines,Female,40,1.52,79,135000,Irish,IE,Ireland,Elixir,,,Ammie,Hines
An Camacho,Female,43,1.85,60,145000,Danish,DK,Denmark,PL-SQL,,,An,Camacho
Anamaria Mccarthy,Female,56,1.91,86,126000,Spanish,SP,Spain,Julia,F#,Dart,Anamaria,Mccarthy
Anamaria Nichols,Female,32,1.81,44,64000,Bolivian,BO,Bolivia,Bash,Transact-SQL,Caml,Anamaria,Nichols
Andera Fox,Female,58,1.78,85,97000,Australian,AU,Australia,Dylan,Ceylon,,Andera,Fox
Andree Douglas,Female,23,2.0,50,58000,Russian,RU,Russia,C++,Falcon,Haskell,Andree,Douglas
Andres Ferguson,Male,58,1.69,80,111000,Chilean,CL,Chile,Lua,,,Andres,Ferguson
Andres Green,Male,32,1.87,86,130000,Israeli,IS,Israel,Scheme,,,Andres,Green
Andrew Mckee,Female,58,1.78,53,113000,Canadian,CA,Canada,Scheme,PL-I,Prolog,Andrew,Mckee
Andy Pennington,Male,48,1.73,55,90000,Swedish,SE,Sweden,AutoIt,Io,,Andy,Pennington
Angele Ford,Female,60,2.0,52,103000,Swiss,CH,Switzerland,Prolog,Ruby,,Angele,Ford
Angelena Coleman,Female,53,1.78,84,88000,Danish,DK,Denmark,Delphi,Ruby,,Angelena,Coleman
Angla Patterson,Female,26,1.71,47,113000,Israeli,IS,Israel,PHP,Delphi,Io,Angla,Patterson
Anika Glass,Female,61,1.78,72,98000,Swiss,CH,Switzerland,AutoIt,PHP,J#,Anika,Glass
Anjanette George,Female,43,1.61,74,51000,Chinese,CH,China,Racket,,,Anjanette,George
Anjanette Greer,Female,36,1.65,79,108000,Jordanian,JO,Jordan,Common Lisp,J#,,Anjanette,Greer
Annamaria Middleton,Female,66,1.96,88,127000,Ethiopian,ET,Ethiopia,Tcl,Tcl,,Annamaria,Middleton
Annett Hoffman,Female,64,1.82,71,91000,Belgian,BE,Belgium,Ruby,C,,Annett,Hoffman
Anthony Beasley,Male,25,1.91,38,114000,Irish,IE,Ireland,F#,,,Anthony,Beasley
Anthony Donaldson,Female,20,1.6,74,72000,Israeli,IS,Israel,J#,Go,,Anthony,Donaldson
Antione Lewis,Male,36,1.94,39,114000,Taiwanese,TW,Taiwan,ECMAScript,,,Antione,Lewis
Antoine Beard,Male,16,1.85,51,81000,Italian,IT,Italy,C#,,,Antoine,Beard
Antone Harrington,Male,21,1.88,64,53000,Costa Rican,CR,Costa Rica,Lua,,,Antone,Harrington
Antonietta Sharp,Female,45,1.57,65,78000,Israeli,IS,Israel,Falcon,Ruby,,Antonietta,Sharp
Antony Gregory,Male,66,1.82,89,87000,Belgian,BE,Belgium,,,,Antony,Gregory
Antony Mckenzie,Male,38,1.72,44,78000,Uruguayan,UY,Uruguay,,,,Antony,Mckenzie
Antony Riggs,Male,66,1.72,69,172000,Chinese,HK,Hong Kong,,,,Antony,Riggs
Antwan Campos,Male,32,1.88,78,66000,Iranian,IR,Iran,,,,Antwan,Campos
Anya Elliott,Female,45,1.74,57,98000,Dominican,DM,Dominica,J#,JavaScript,,Anya,Elliott
Apolonia Nielsen,Female,33,1.53,83,88000,Russian,RU,Russia,Caml,,,Apolonia,Nielsen
Ardell Barnett,Female,53,1.61,69,128000,Israeli,IS,Israel,Clojure,,,Ardell,Barnett
Arden Bruce,Male,21,1.58,64,85000,Cuban,CU,Cuba,,,,Arden,Bruce
Argentina Sharp,Female,65,1.7,86,55000,Chinese,HK,Hong Kong,Kotlin,Smalltalk,,Argentina,Sharp
Arianna Robinson,Female,54,1.96,80,84000,Ukrainian,UA,Ukraine,Transact-SQL,AutoIt,,Arianna,Robinson
Arica Johnston,Female,26,1.62,42,110000,British,GB,United Kingdom,Falcon,,,Arica,Johnston
Ariel Tran,Male,46,1.65,72,99000,Russian,RU,Russia,R,Rust,,Ariel,Tran
Arla Osborne,Female,51,1.81,83,95000,French,FR,France,,,,Arla,Osborne
Arlen Frederick,Male,29,1.76,90,138000,Russian,RU,Russia,AutoIt,Tex,Racket,Arlen,Frederick
Arletha Pruitt,Female,65,1.84,55,119000,Brazilian,BR,Brazil,ECMAScript,Perl,Io,Arletha,Pruitt
Arlie Caldwell,Male,31,1.52,52,93000,Cuban,CU,Cuba,Bash,,,Arlie,Caldwell
Arlie Durham,Male,60,1.63,39,107000,Polish,PO,Poland,GNU Octave,OCaml,,Arlie,Durham
Arlie Scott,Male,53,1.78,66,56000,Estonian,EE,Estonia,,,,Arlie,Scott
Arlie Terrell,Male,66,1.9,76,95000,Italian,IT,Italy,C Shell,ASP,Python,Arlie,Terrell
Arlinda Dominguez,Female,34,1.51,85,74000,Polish,PO,Poland,Falcon,Prolog,AutoIt,Arlinda,Dominguez
Armand Dillon,Male,43,1.98,86,89000,Ukrainian,UA,Ukraine,Tex,,,Armand,Dillon
Armando Mathews,Male,63,1.89,72,77000,Russian,RU,Russia,R,Lua,PowerShell,Armando,Mathews
Arnoldo Carver,Male,39,1.51,69,45000,Russian,RU,Russia,Transact-SQL,,,Arnoldo,Carver
Art Marshall,Male,63,1.9,87,76000,Swiss,CH,Switzerland,PL-I,Caml,Delphi,Art,Marshall
Arthur Calhoun,Male,47,1.85,80,101000,Jordanian,JO,Jordan,Smalltalk,AutoIt,,Arthur,Calhoun
Arturo Camacho,Male,49,1.92,75,94000,Dominican,DM,Dominica,PL-I,,,Arturo,Camacho
Asa Hawkins,Male,30,1.58,80,139000,Finnish,FI,Finland,Mathematica,Clojure,,Asa,Hawkins
Asa Riley,Male,46,1.84,63,93000,Irish,IE,Ireland,PL-I,,,Asa,Riley
Ashley Myers,Male,64,2.0,68,68000,Iranian,IR,Iran,Mathematica,Erlang,J#,Ashley,Myers
Ashli Mathews,Female,63,1.92,84,137000,Cuban,CU,Cuba,C++,TypeScript,Julia,Ashli,Mathews
Asley Cross,Female,62,1.64,87,186000,Italian,IT,Italy,Ruby,D,haXe,Asley,Cross
Asuncion Bentley,Female,55,1.94,45,61000,Swiss,CH,Switzerland,F#,Awk,Awk,Asuncion,Bentley
Asuncion Daniels,Female,48,1.77,70,53000,Ethiopian,ET,Ethiopia,TypeScript,Lisp,,Asuncion,Daniels
Aubrey Baker,Male,23,1.53,72,130000,Spanish,SP,Spain,,,,Aubrey,Baker
Audie Kane,Female,28,1.7,55,81000,Romanian,RO,Romania,Assembly,Lisp,C#,Audie,Kane
Audrea Norton,Female,18,1.57,76,88000,Egyptian,EG,Egypt,,,,Audrea,Norton
August Saunders,Male,22,1.93,55,110000,Dutch,NL,Netherland,,,,August,Saunders
Augustine Dodson,Male,64,1.69,56,91000,Costa Rican,CR,Costa Rica,Scala,Racket,Z shell,Augustine,Dodson
Augustine Mejia,Male,16,1.83,61,77000,Bolivian,BO,Bolivia,JavaScript,,,Augustine,Mejia
Augustus Burch,Male,35,1.84,62,127000,Brazilian,BR,Brazil,,,,Augustus,Burch
Aurore Frederick,Female,30,1.73,41,72000,Belgian,BE,Belgium,C Shell,OCaml,Dylan,Aurore,Frederick
Aurore Puckett,Female,54,1.62,81,54000,Swedish,SE,Sweden,Ruby,Dart,Racket,Aurore,Puckett
Ayana Bauer,Female,43,1.85,59,134000,Canadian,CA,Canada,Caml,,,Ayana,Bauer
Ayana Mendez,Female,23,1.58,54,65000,Cambodian,CM,Cambodia,Bash,,,Ayana,Mendez
Azalee Zamora,Female,41,1.65,62,64000,Brazilian,BR,Brazil,,,,Azalee,Zamora
Babara Mack,Female,25,1.74,73,157000,Egyptian,EG,Egypt,,,,Babara,Mack
Babette Melton,Female,24,1.72,57,96000,Chilean,CL,Chile,TypeScript,PL-I,Z shell,Babette,Melton
Bari Colon,Female,65,1.6,62,116000,Ukrainian,UA,Ukraine,PowerShell,Tcl,,Bari,Colon
Barrett Coleman,Male,64,1.84,53,97000,Estonian,EE,Estonia,Prolog,Scheme,,Barrett,Coleman
Bart Durham,Male,23,1.81,70,91000,Finnish,FI,Finland,ASP,Prolog,Rust,Bart,Durham
Barton Mcintyre,Male,23,1.8,83,85000,Costa Rican,CR,Costa Rica,,,,Barton,Mcintyre
Beatris Leon,Female,50,1.68,83,52000,Swedish,SE,Sweden,Bash,ECMAScript,,Beatris,Leon
Beau Lawrence,Male,32,1.86,42,77000,Dutch,NL,Netherland,PL-SQL,Assembly,,Beau,Lawrence
Becki Bradley,Female,54,1.56,81,115000,Japanese,JP,Japan,AutoIt,Tcl,,Becki,Bradley
Beckie Strong,Female,36,1.64,86,161000,Estonian,EE,Estonia,C#,,,Beckie,Strong
Belkis Delacruz,Female,56,1.77,63,97000,French,FR,France,,,,Belkis,Delacruz
Benedict Tate,Male,53,1.84,43,63000,Uruguayan,UY,Uruguay,,,,Benedict,Tate
Benjamin Duffy,Male,66,1.92,58,101000,Mexican,ME,Mexico,,,,Benjamin,Duffy
Bennie Collier,Male,45,1.93,90,78000,Israeli,IS,Israel,PL-SQL,,,Bennie,Collier
Benny Shannon,Male,44,1.9,79,109000,Irish,IE,Ireland,,,,Benny,Shannon
Bernarda Mitchell,Female,38,1.5,81,145000,Russian,RU,Russia,PL-I,,,Bernarda,Mitchell
Bernardina Mullen,Female,45,1.69,56,107000,Uruguayan,UY,Uruguay,C#,,,Bernardina,Mullen
Bernetta Nelson,Female,57,1.95,90,55000,Dutch,NL,Netherland,Scheme,Transact-SQL,,Bernetta,Nelson
Bernetta Santana,Female,53,2.0,89,94000,Spanish,SP,Spain,Common Lisp,OCaml,,Bernetta,Santana
Bernie Guerra,Male,42,1.98,74,120000,Italian,IT,Italy,R,Mathematica,Lisp,Bernie,Guerra
Bernie Parsons,Male,59,1.95,38,92000,Estonian,EE,Estonia,,,,Bernie,Parsons
Bert Hess,Male,26,1.81,74,76000,Irish,IE,Ireland,GNU Octave,ASP,,Bert,Hess
Bethanie Bell,Female,36,1.94,84,73000,Taiwanese,TW,Taiwan,Scala,Java,Rust,Bethanie,Bell
Bethann Maddox,Female,37,1.51,46,95000,Swiss,CH,Switzerland,,,,Bethann,Maddox
Bethann Wilkins,Female,21,2.0,70,123000,Chilean,CL,Chile,Io,R,,Bethann,Wilkins
Betsey Cohen,Female,25,1.85,38,68000,Venezuelan,VE,Venezuela,,,,Betsey,Cohen
Beula Bishop,Female,23,1.59,43,93000,Iranian,IR,Iran,,,,Beula,Bishop
Beula Singleton,Female,42,1.91,61,74000,Israeli,IS,Israel,,,,Beula,Singleton
Beula Terrell,Female,54,1.82,88,81000,Egyptian,EG,Egypt,TypeScript,Lisp,,Beula,Terrell
Beula Whitehead,Female,65,1.8,80,54000,Danish,DK,Denmark,Scala,Objective-C,C Shell,Beula,Whitehead
Beverlee Mullen,Female,66,1.58,74,75000,Russian,RU,Russia,J#,CoffeeScript,PL-I,Beverlee,Mullen
Bibi Riley,Female,49,1.99,74,99000,Swiss,CH,Switzerland,Lua,,,Bibi,Riley
Bibi Silva,Female,66,2.0,46,182000,Ukrainian,UA,Ukraine,,,,Bibi,Silva
Blaine Owens,Male,66,1.97,57,97000,Ukrainian,UA,Ukraine,ASP,Rust,J#,Blaine,Owens
Blair Conrad,Male,56,1.73,71,97000,Israeli,IS,Israel,Scala,Dylan,,Blair,Conrad
Blythe Beasley,Female,55,1.52,82,78000,Ethiopian,ET,Ethiopia,Lisp,,,Blythe,Beasley
Blythe Koch,Female,55,1.95,68,67000,Dutch,NL,Netherland,Julia,,,Blythe,Koch
Bo Gordon,Male,18,1.86,39,137000,Cambodian,CM,Cambodia,,,,Bo,Gordon
Bobbie Manning,Male,18,1.6,68,104000,Venezuelan,VE,Venezuela,Java,Tcl,Erlang,Bobbie,Manning
Bobbye Wilson,Female,34,1.51,90,67000,British,GB,United Kingdom,CoffeeScript,,,Bobbye,Wilson
Booker Ramos,Male,38,1.57,48,81000,Swiss,CH,Switzerland,Z shell,,,Booker,Ramos
Boris Mejia,Male,16,1.92,54,121000,Spanish,SP,Spain,Scala,Fortran,,Boris,Mejia
Boyd Blackwell,Male,55,1.95,42,85000,Venezuelan,VE,Venezuela,Haskell,Delphi,,Boyd,Blackwell
Boyd Boyd,Male,49,1.62,38,85000,German,DE,Germany,Objective-C,Clojure,Go,Boyd,Boyd
Brad Le,Male,61,1.54,42,212000,Finnish,FI,Finland,Delphi,J#,,Brad,Le
Bradley Reeves,Male,59,1.99,54,168000,Egyptian,EG,Egypt,Bash,,,Bradley,Reeves
Brain Haney,Male,16,1.63,53,146000,Greek,GR,Greece,Tcl,,,Brain,Haney
Branden Sargent,Male,45,1.73,82,130000,Bolivian,BO,Bolivia,,,,Branden,Sargent
Brandon Wheeler,Female,36,1.98,83,89000,Ukrainian,UA,Ukraine,Caml,,,Brandon,Wheeler
Breana Eaton,Female,64,1.96,70,85000,Ukrainian,UA,Ukraine,Caml,,,Breana,Eaton
Brett Bentley,Male,29,1.61,49,127000,Venezuelan,VE,Venezuela,CoffeeScript,,,Brett,Bentley
Britni Pickett,Female,31,1.65,52,34000,Chilean,CL,Chile,Smalltalk,,,Britni,Pickett
Brittny Slater,Female,30,1.74,65,99000,Polish,PO,Poland,Scheme,CoffeeScript,R,Brittny,Slater
Bryan Aguirre,Male,56,1.71,51,221000,Bolivian,BO,Bolivia,Common Lisp,PHP,Smalltalk,Bryan,Aguirre
Bryan Johnston,Male,64,1.67,45,83000,Canadian,CA,Canada,Bash,Fortran,C,Bryan,Johnston
Bryanna Odom,Female,51,1.63,85,141000,Cambodian,CM,Cambodia,Racket,Groovy,,Bryanna,Odom
Bryant Vazquez,Male,55,1.62,59,135000,Romanian,RO,Romania,Rust,,,Bryant,Vazquez
Bryce Buck,Male,18,1.92,73,86000,Greek,GR,Greece,Fortran,Tcl,Prolog,Bryce,Buck
Bryon Fisher,Male,21,1.98,73,66000,Italian,IT,Italy,haXe,Kotlin,R,Bryon,Fisher
Buck Howe,Male,62,1.61,53,85000,Australian,AU,Australia,Haskell,C++,,Buck,Howe
Buck Hurley,Male,36,1.59,45,57000,Ukrainian,UA,Ukraine,PowerShell,Ceylon,Elixir,Buck,Hurley
Burl Mayo,Male,17,1.85,47,81000,Cameroonian,CM,Cameroon,Bash,OCaml,Z shell,Burl,Mayo
Burt Webster,Male,39,1.58,38,95000,Cambodian,CM,Cambodia,Groovy,GNU Octave,Dart,Burt,Webster
Burton Hoover,Male,60,1.61,52,59000,Spanish,SP,Spain,,,,Burton,Hoover
Byron Beard,Male,25,1.53,62,81000,Dutch,NL,Netherland,Clojure,Go,Objective-C,Byron,Beard
Byron Brown,Male,26,1.98,40,99000,Venezuelan,VE,Venezuela,,,,Byron,Brown
Camellia Maxwell,Female,31,1.86,74,94000,Irish,IE,Ireland,,,,Camellia,Maxwell
Candie Murphy,Female,21,1.62,45,49000,Spanish,SP,Spain,,,,Candie,Murphy
Candra Wynn,Female,47,1.62,81,149000,Ethiopian,ET,Ethiopia,Bash,Delphi,Racket,Candra,Wynn
Carie Ray,Female,22,1.85,71,136000,Mexican,ME,Mexico,Dylan,Ruby,Objective-C,Carie,Ray
Carl Baxter,Male,37,1.95,60,56000,Polish,PO,Poland,,,,Carl,Baxter
Carline Carlson,Female,33,1.53,86,133000,Cambodian,CM,Cambodia,Fortran,,,Carline,Carlson
Carlo Dillard,Male,50,1.93,75,115000,Polish,PO,Poland,AutoIt,Go,,Carlo,Dillard
Carlo Melendez,Male,45,1.9,68,70000,Iranian,IR,Iran,,,,Carlo,Melendez
Carlos Ewing,Female,56,1.82,89,114000,Costa Rican,CR,Costa Rica,GNU Octave,D,,Carlos,Ewing
Carlton Richard,Male,37,1.6,38,56000,Dominican,DM,Dominica,Common Lisp,Haskell,Scheme,Carlton,Richard
Carmine Pope,Male,25,1.88,80,107000,Costa Rican,CR,Costa Rica,Emacs Lisp,,,Carmine,Pope
Carmine Russo,Male,18,1.9,73,103000,Dominican,DM,Dominica,Tcl,,,Carmine,Russo
Carmon O'brien,Female,46,1.95,49,57000,Swedish,SE,Sweden,,,,Carmon,O'brien
Carol Bradshaw,Male,40,1.5,60,93000,Spanish,SP,Spain,PL-I,,,Carol,Bradshaw
Carolyne Galloway,Female,35,1.98,75,130000,Romanian,RO,Romania,PHP,,,Carolyne,Galloway
Carroll Barnett,Male,16,1.88,43,103000,Romanian,RO,Romania,Julia,,,Carroll,Barnett
Carry Henson,Female,41,1.83,84,101000,Costa Rican,CR,Costa Rica,,,,Carry,Henson
Carylon Koch,Female,61,1.84,61,103000,Dutch,NL,Netherland,TypeScript,Tcl,,Carylon,Koch
Carylon Lane,Female,54,1.5,45,62000,Ukrainian,UA,Ukraine,,,,Carylon,Lane
Carylon Zamora,Female,36,1.94,57,91000,French,FR,France,Groovy,Python,C,Carylon,Zamora
Catarina Mckenzie,Female,36,1.76,62,103000,Irish,IE,Ireland,TypeScript,,,Catarina,Mckenzie
Cathern Castaneda,Female,64,1.9,80,87000,Iranian,IR,Iran,C++,,,Cathern,Castaneda
Cathey Walter,Female,53,1.72,45,132000,Finnish,FI,Finland,haXe,Clojure,,Cathey,Walter
Catrice Bryant,Female,33,2.0,71,111000,German,DE,Germany,haXe,Lisp,Go,Catrice,Bryant
Cecil Schneider,Male,48,1.95,41,76000,Russian,RU,Russia,Falcon,,,Cecil,Schneider
Cedrick Ortega,Male,47,1.87,38,95000,Taiwanese,TW,Taiwan,C++,Groovy,Prolog,Cedrick,Ortega
Celena Carney,Female,43,1.87,76,77000,Bolivian,BO,Bolivia,Clojure,Elixir,,Celena,Carney
Celsa Gross,Female,17,1.67,62,193000,Costa Rican,CR,Costa Rica,Perl,,,Celsa,Gross
Cesar Daniels,Male,37,1.8,87,93000,Japanese,JP,Japan,,,,Cesar,Daniels
Chan Dotson,Female,28,1.7,42,76000,Finnish,FI,Finland,,,,Chan,Dotson
Chanell Anthony,Female,29,1.88,76,124000,Danish,DK,Denmark,AutoIt,Bash,,Chanell,Anthony
Chang Mack,Male,65,1.85,69,112000,British,GB,United Kingdom,Falcon,Kotlin,Awk,Chang,Mack
Chang Soto,Male,30,1.62,52,98000,Venezuelan,VE,Venezuela,Clojure,,,Chang,Soto
Charlsie Gillespie,Female,60,1.87,64,93000,Venezuelan,VE,Venezuela,JavaScript,,,Charlsie,Gillespie
Chas Key,Male,27,1.53,65,102000,Ukrainian,UA,Ukraine,,,,Chas,Key
Chere Dalton,Female,59,1.97,50,77000,Ukrainian,UA,Ukraine,,,,Chere,Dalton
Chery Becker,Female,16,1.62,60,57000,Cambodian,CM,Cambodia,Racket,JavaScript,Java,Chery,Becker
Chet Pate,Male,21,1.88,78,68000,Cameroonian,CM,Cameroon,,,,Chet,Pate
Chi Patel,Male,51,1.87,63,81000,Greek,GR,Greece,,,,Chi,Patel
Chong Beck,Male,37,1.58,86,122000,Cameroonian,CM,Cameroon,,,,Chong,Beck
Christeen Mueller,Female,62,1.88,59,112000,Danish,DK,Denmark,Tex,Awk,,Christeen,Mueller
Christene Hess,Female,52,1.8,73,96000,Romanian,RO,Romania,Fortran,,,Christene,Hess
Christian Hays,Male,35,1.89,85,119000,Estonian,EE,Estonia,,,,Christian,Hays
Christinia Henderson,Female,44,1.99,74,107000,Ukrainian,UA,Ukraine,Scala,,,Christinia,Henderson
Christinia Navarro,Female,38,1.59,65,102000,Cuban,CU,Cuba,,,,Christinia,Navarro
Christoper Coffey,Male,19,1.83,45,102000,Costa Rican,CR,Costa Rica,,,,Christoper,Coffey
Chu Gordon,Female,61,1.9,90,77000,Polish,PO,Poland,Julia,Fortran,,Chu,Gordon
Ciera Guerra,Female,61,1.75,58,142000,Swiss,CH,Switzerland,Elixir,Smalltalk,,Ciera,Guerra
Cinderella Lambert,Female,53,1.98,39,111000,Iranian,IR,Iran,ECMAScript,C Shell,PHP,Cinderella,Lambert
Clair Holt,Male,37,1.63,67,105000,Cuban,CU,Cuba,C#,,,Clair,Holt
Clarence Lane,Male,22,1.82,80,55000,Australian,AU,Australia,CoffeeScript,,,Clarence,Lane
Clarisa Montgomery,Female,34,1.69,41,176000,Cuban,CU,Cuba,Caml,Assembly,Smalltalk,Clarisa,Montgomery
Clarisa Rodgers,Female,59,1.84,65,90000,Taiwanese,TW,Taiwan,Ceylon,Python,ECMAScript,Clarisa,Rodgers
Clarita Carver,Female,35,1.66,71,84000,Finnish,FI,Finland,Prolog,Erlang,Smalltalk,Clarita,Carver
Clark Clark,Male,18,1.68,66,188000,Polish,PO,Poland,,,,Clark,Clark
Claud Duncan,Male,30,1.63,38,79000,Venezuelan,VE,Venezuela,,,,Claud,Duncan
Claude Eaton,Female,46,1.87,61,170000,Finnish,FI,Finland,,,,Claude,Eaton
Clay Sullivan,Male,59,1.92,58,100000,Finnish,FI,Finland,,,,Clay,Sullivan
Clayton Hodge,Male,43,1.82,74,95000,Jordanian,JO,Jordan,Smalltalk,,,Clayton,Hodge
Clemente Mccormick,Male,47,1.98,52,76000,Danish,DK,Denmark,,,,Clemente,Mccormick
Clemmie Durham,Female,24,1.79,87,107000,Japanese,JP,Japan,Go,Erlang,Dylan,Clemmie,Durham
Cliff Newton,Male,58,1.83,55,102000,Egyptian,EG,Egypt,AutoIt,JavaScript,Z shell,Cliff,Newton
Clifton Meadows,Male,55,1.62,57,114000,Ukrainian,UA,Ukraine,D,,,Clifton,Meadows
Clifton Roach,Male,23,1.76,78,46000,Cameroonian,CM,Cameroon,,,,Clifton,Roach
Codi Park,Female,48,1.79,85,111000,Danish,DK,Denmark,Kotlin,Z shell,,Codi,Park
Cole Farley,Male,36,1.55,81,77000,Egyptian,EG,Egypt,TypeScript,Fortran,,Cole,Farley
Cole Jackson,Male,46,2.0,63,109000,Israeli,IS,Israel,J#,,,Cole,Jackson
Coletta Vega,Female,57,1.87,44,94000,Brazilian,BR,Brazil,C++,,,Coletta,Vega
Colin Vang,Male,65,1.78,41,129000,British,GB,United Kingdom,,,,Colin,Vang
Collin Kane,Male,47,1.87,65,84000,Venezuelan,VE,Venezuela,,,,Collin,Kane
Connie Irwin,Male,33,1.92,53,119000,Dutch,NL,Netherland,,,,Connie,Irwin
Conrad Leblanc,Male,21,1.9,90,67000,Polish,PO,Poland,Tcl,R,Emacs Lisp,Conrad,Leblanc
Conrad Montoya,Male,37,1.86,52,69000,Australian,AU,Australia,,,,Conrad,Montoya
